index,homeTeam,awayTeam,homeGoals,awayGoals,round,year,date
1,Werder Bremen,Borussia Dortmund,3,2,1,1963,1963-08-24 09:30:00
8,Schalke 04,VfB Stuttgart,2,0,1,1963,1963-08-24 09:30:00
10,1. FC Nuernberg,Werder Bremen,3,0,2,1963,1963-08-31 09:30:00
11,Hamburger SV,1. FC Saarbruecken,4,2,2,1963,1963-08-31 09:30:00
13,Meidericher SV,Eintracht Frankfurt,3,1,2,1963,1963-08-31 09:30:00
14,1. FC Koeln,Karlsruher SC,4,0,2,1963,1963-08-31 09:30:00
15,Eintracht Braunschweig,Preussen Muenster,1,0,2,1963,1963-08-31 09:30:00
16,VfB Stuttgart,Hertha BSC Berlin,2,0,2,1963,1963-08-31 09:30:00
19,Preussen Muenster,Meidericher SV,4,2,3,1963,1963-09-07 09:30:00
24,Schalke 04,Borussia Dortmund,3,1,3,1963,1963-09-07 09:30:00
25,Borussia Dortmund,1. FC Saarbruecken,2,1,4,1963,1963-09-14 09:30:00
27,Hamburger SV,Eintracht Frankfurt,3,0,4,1963,1963-09-14 09:30:00
28,1. FC Kaiserslautern,Werder Bremen,3,0,4,1963,1963-09-14 09:30:00
31,Eintracht Braunschweig,Karlsruher SC,2,0,4,1963,1963-09-14 09:30:00
35,Preussen Muenster,VfB Stuttgart,4,2,5,1963,1963-09-21 09:30:00
